country,pi,u_icer,ll_icer,ul_icer
Mozambique,0.343,185.29547268753754,141.85204223937916,228.73890313569592
Mozambique,0.34400000000000003,184.75682305763192,141.43968165147396,228.07396446378988
Mozambique,0.34500000000000003,184.22129603427643,141.02971155973052,227.41288050882235
Mozambique,0.34600000000000003,183.6888645428479,140.62211123730356,226.75561784839226
Mozambique,0.34700000000000003,183.1595018208224,140.21686019627387,226.10214344537096
Mozambique,0.34800000000000003,182.6331814132913,139.81393818421566,225.45242464236696
Mozambique,0.34900000000000003,182.1098771685541,139.41332518082245,224.80642915628576
Mozambique,0.35000000000000003,181.5895632337868,139.01500139459154,224.16412507298207
Mozambique,0.35100000000000003,181.07221405078457,138.61894725956418,223.52548084200495
Mozambique,0.35200000000000004,180.55780435177664,138.2251434321223,222.89046527143097
Mozambique,0.35300000000000004,180.04630915531268,137.83357078783865,222.25904752278672
Mozambique,0.35400000000000004,179.5377037622186,137.4442104183815,221.6311971060557
Mozambique,0.35500000000000004,179.03196375162076,137.05704362847052,221.006883874771
Mozambique,0.35600000000000004,178.52906497703756,136.67205193288493,220.3860780211902
Mozambique,0.357,178.0289835625361,136.28921705352116,219.76875007155104
Mozambique,0.358,177.5316958989536,135.9085209165001,219.15487088140708
Mozambique,0.359,177.03717864018213,135.52994564932325,218.54441163104102
Mozambique,0.36,176.54540869951495,135.15347357807508,217.93734382095482
Mozambique,0.361,176.0563632460537,134.77908722467325,217.33363926743417
Mozambique,0.362,175.5700197011751,134.40676930416313,216.7332700981871
Mozambique,0.363,175.08635573505615,134.03650272205797,216.13620874805432
Mozambique,0.364,174.60534926325656,133.66827057172264,215.54242795479047
Mozambique,0.365,174.12697844335722,133.30205613180016,214.95190075491428
Mozambique,0.366,173.65122167165407,132.93784286368046,214.36460047962768
Mozambique,0.367,173.17805757990567,132.57561440901102,213.78050075080031
Mozambique,0.368,172.7074650321342,132.2153545872474,213.199575477021
Mozambique,0.369,172.239423121478,131.85704739324404,212.62179884971198
Mozambique,0.37,171.77391116709563,131.5006769948839,212.04714533930738
Mozambique,0.371,171.31090871111965,131.14622773074677,211.47558969149253
Mozambique,0.372,170.85039551565964,130.7936841078146,210.90710692350467
Mozambique,0.373,170.39235155985358,130.4430307992146,210.34167232049256
Mozambique,0.374,169.93675703696627,130.09425264199746,209.77926143193508
Mozambique,0.375,169.48359235153438,129.74733463495215,209.2198500681166
Mozambique,0.376,169.0328381165569,129.4022619364549,208.66341429665889
Mozambique,0.377,168.58447515073047,129.0590198623529,208.10993043910804
Mozambique,0.378,168.13848447572852,128.71759388388108,207.55937506757596
Mozambique,0.379,167.69484731352344,128.37796962561228,207.0117250014346
Mozambique,0.38,167.25354508375102,128.04013286343962,206.46695730406242
Mozambique,0.381,166.8145594011165,127.70406952259069,205.9250492796423
Mozambique,0.382,166.3778720728413,127.36976567567288,205.38597847000975
Mozambique,0.383,165.94346509614982,127.03720754074945,204.8497226515502
Mozambique,0.384,165.51132065579526,126.70638147944538,204.31625983214514
Mozambique,0.385,165.08142112162437,126.37727399508326,203.78556824816548
Mozambique,0.386,164.65374904617977,126.04987173084726,203.25762636151228
Mozambique,0.387,164.2282871623395,125.72416146797688,202.73241285670213
Mozambique,0.388,163.80501838099326,125.40013012398724,202.20990663799927
Mozambique,0.389,163.38392578875417,125.07776475091784,201.69008682659052
Mozambique,0.39,162.9649926457061,124.75705253360778,201.17293275780443
Mozambique,0.391,162.54820238318513,124.43798078799756,200.6584239783727
Mozambique,0.392,162.13353860159535,124.12053695945673,200.14654024373397
Mozambique,0.393,161.720985068258,123.80470862113751,199.63726151537847
Mozambique,0.394,161.31052571529284,123.4904834723529,199.13056795823277
